#
# German language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Urheber
%%copyright_source_string%%	Quelle
%%copyright_source_text%%	Basierend auf OpenStreetMap-Daten, erhältlich via http://www.openstreetmap.org/
%%copyright_license_string%%	Lizenz

%%turn_-4%%	Sehr scharf links
%%turn_-3%%	Scharf links
%%turn_-2%%	Links
%%turn_-1%%	Halb links
%%turn_0%%	Geradeaus
%%turn_1%%	Halb rechts
%%turn_2%%	Rechts
%%turn_3%%	Scharf rechts
%%turn_4%%	Sehr scharf rechts

%%heading_-4%%	Süd
%%heading_-3%%	Süd-West
%%heading_-2%%	West
%%heading_-1%%	Nord-West
%%heading_0%%	Nord
%%heading_1%%	Nord-Ost
%%heading_2%%	Ost
%%heading_3%%	Süd-Ost
%%heading_4%%	Süd

%%ordinal_1%%	Erste
%%ordinal_2%%	Zweite
%%ordinal_3%%	Dritte
%%ordinal_4%%	Vierte
%%ordinal_5%%	Fünfte
%%ordinal_6%%	Sechste
%%ordinal_7%%	Siebte
%%ordinal_8%%	Achte
%%ordinal_9%%	Neunte
%%ordinal_10%%	Zehnte

%%highway_motorway%%	Autobahn
%%highway_trunk%%	Schnellstraße
%%highway_primary%%	Bundesstraße
%%highway_secondary%%	Landesstraße
%%highway_tertiary%%	Kreisstraße
%%highway_unclassified%%	Nebenstraße
%%highway_residential%%	Wohngebietsstraße
%%highway_service%%	Erschließungsweg
%%highway_track%%	Feld-/Waldweg
%%highway_cycleway%%	Radweg
%%highway_path%%	Weg/Pfad
%%highway_steps%%	Treppe
%%highway_ferry%%	Fähre

%%route_shortest%%	Kürzeste
%%route_quickest%%	Schnellste

%%output-html_waypoint_waypoint%%	Wegpunkt
%%output-html_waypoint_junction%%	Anschlussstelle
%%output-html_waypoint_roundabout%%	Kreisverkehr
%%output-html_title%%	%s Route
%%output-html_start%%	Start bei %s halten Sie sich Richtung %s
%%output-html_node%%	Bei %s wenden Sie sich nach %s Richtung %s
%%output-html_rbnode%%	Verlassen Sie %s, nehmen Sie die %s Ausfahrt Richtung %s
%%output-html_segment%%	Folgen Sie der %s für %.3f km bzw. %.1f min
%%output-html_stop%%	Stop Sie sind bei %s angekommen
%%output-html_total%%	Gesamt %.1f km, %.0f minuten
%%output-html_subtotal%%	%.1f km, %.0f minuten

%%output-gpx_waypoint_waypt%%	Wegpunkt
%%output-gpx_waypoint_trip%%	Reiseroute

%%output-gpx_desc%%	%s Strecke zwischen 'Start' und 'Ziel'
%%output-gpx_name%%	%s Strecke
%%output-gpx_step%%	%s auf '%s' für %.3f km, %.1f min
%%output-gpx_final%%	Gesamtstrecke %.1f km, %.0f minuten

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Deutsch
@@LANGUAGE-WEBPAGE@@	Deutsche Webseite

@@ROUTER-TITLE@@	Routen Planer für OpenStreetMap Daten

@@OPTION-TAB@@	Optionen
@@OPTION-TAB-HELP@@	Setze Routing-Optionen

@@RESULTS-TAB@@	Ergebnisse
@@RESULTS-TAB-HELP@@	Sieh die Ergebnisse

@@DATA-TAB@@	Daten
@@DATA-TAB-HELP@@	Sieh die Datenbankinformationen

@@ROUTINO-ROUTER@@	Routino OpenStreetMap Router
@@ROUTINO-WEBSITE@@	Routino Website
@@DOCUMENTATION@@	Dokumentation

@@LANGUAGE-BOX@@	Sprache
@@WAYPOINTS-BOX@@	Wegpunkte
@@TRANSPORT-TYPE-BOX@@	Fortbewegungsart
@@HIGHWAY-PREFERENCES-BOX@@	Vorgaben zur Wegnutzung
@@SPEED-LIMITS-BOX@@	Geschwindigkeitsvorgaben
@@PROPERTY-PREFERENCES-BOX@@	Vorgaben zur Wegbeschaffenheit
@@OTHER-RESTRICTIONS-BOX@@	andere Vorgaben
@@FIND-BOX@@	Suche
@@LINKS-BOX@@	Verbindungen
@@HELP-BOX@@	Hilfe

@@STATUS-BOX@@	Status
@@SHORTEST-ROUTE@@	kürzester Weg
@@QUICKEST-ROUTE@@	schnellste Route

@@STATISTICS-BOX@@	Routino Statistik
@@VISUALISER-BOX@@	Routino Ansichten

@@WAYPOINT-POSITION@@	Wegpunkt XXX Position
@@WAYPOINT-LONGITUDE@@	Wegpunkt XXX geografische Länge
@@WAYPOINT-LATITUDE@@	Wegpunkt XXX geografische Breite
@@WAYPOINT-LOCATION@@	Wegpunkt XXX Ort
@@WAYPOINT-SEARCH@@	Nach Ort suchen
@@WAYPOINT-GET@@	Aktuellen Ort bestimmen
@@WAYPOINT-CENTRE1@@	Karte auf Wegpunkt zentrieren
@@WAYPOINT-UP@@	Wegpunkt nach oben verschieben
@@WAYPOINT-ADD@@	Neuer Wegpunkt nach diesem
@@WAYPOINT-COORDS@@	Koordinaten des Orts
@@WAYPOINT-HOME@@	Umschalten auf den Standort des Zuhauses
@@WAYPOINT-CENTRE2@@	Wegpunkt auf Karte zentrieren
@@WAYPOINT-DOWN@@	Wegpunkt nach unten verschieben
@@WAYPOINT-REMOVE@@	Wegpunkt entfernen
@@WAYPOINT-REVERSE@@	Rückwärts
@@WAYPOINT-REVERSE-BUTTON@@	Rückwärts
@@WAYPOINT-LOOP@@	Einen Wegpunkt hinzufügen um eine Schlaufe zu machen
@@WAYPOINT-LOOP-BUTTON@@	Schleife schließen

@@TRANSPORT-FOOT@@	Fußgänger
@@TRANSPORT-HORSE@@	Pferd
@@TRANSPORT-WHEELCHAIR@@	Rollstuhl
