#
# Italian language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Autore
%%copyright_source_string%%	Sorgente
%%copyright_source_text%%	Basato sui dati di OpenStreetMap (http://www.openstreetmap.org/)
%%copyright_license_string%%	Licenza

%%turn_-4%%	Immediatamente a sinistra
%%turn_-3%%	Subito a sinistra
%%turn_-2%%	Sinistra
%%turn_-1%%	Leggermente a sinistra
%%turn_0%%	Prosegui su
%%turn_1%%	Leggermente a destra
%%turn_2%%	Destra
%%turn_3%%	Subito a destra
%%turn_4%%	Immediatamente a destra

%%heading_-4%%	Sud
%%heading_-3%%	Sud-Ovest
%%heading_-2%%	Ovest
%%heading_-1%%	Nord-Ovest
%%heading_0%%	Nord
%%heading_1%%	Nord-Est
%%heading_2%%	Est
%%heading_3%%	Sud-Est
%%heading_4%%	Sud

%%ordinal_1%%	Primo
%%ordinal_2%%	Secondo
%%ordinal_3%%	Terzo
%%ordinal_4%%	Quarto
%%ordinal_5%%	Quinto
%%ordinal_6%%	Sesto
%%ordinal_7%%	Settimo
%%ordinal_8%%	Ottavo
%%ordinal_9%%	Nono
%%ordinal_10%%	Decimo

%%highway_motorway%%	autostrada
%%highway_trunk%%	strada principale
%%highway_primary%%	strada principale
%%highway_secondary%%	strada secondaria
%%highway_tertiary%%	strada terziaria
%%highway_unclassified%%	strada non classificata
%%highway_residential%%	strada residenziale
%%highway_service%%	strada di servizio
%%highway_track%%	traccia
%%highway_cycleway%%	pista ciclabile
%%highway_path%%	sentiero
%%highway_steps%%	passi
%%highway_ferry%%	traghetto

%%route_shortest%%	Il piu' corto
%%route_quickest%%	Il piu' veloce

%%output-html_waypoint_waypoint%%	Punto sul tragitto
%%output-html_waypoint_junction%%	Raccordo
%%output-html_waypoint_roundabout%%	Rotatoria
%%output-html_title%%	%s Itinerario
%%output-html_start%%	Inizia a %s, su %s
%%output-html_node%%	A %s, vai a %s su %s
%%output-html_rbnode%%	Lascia %s, prendi la %s uscita su %s
%%output-html_segment%%	Segui %s per %.3f km, %.1f min
%%output-html_stop%%	Stop fra %s
%%output-html_total%%	Totale %.1f km, %.0f minuti
%%output-html_subtotal%%	%.1f km, %.0f minuti

%%output-gpx_desc%%	%s punti sul percorso fra 'start' e 'finish'
%%output-gpx_name%%	%s percorso
%%output-gpx_step%%	%s su '%s' per %.3f km, %.1f min
%%output-gpx_final%%	Viaggio completo %.1f km, %.0f minuti

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Italiano
@@LANGUAGE-WEBPAGE@@	Italiano webpage

@@ROUTER-TITLE@@	Pianificazione percorso per i dati di OpenStreetMap

@@OPTION-TAB@@	Opzioni
@@OPTION-TAB-HELP@@	Imposta le opzioni del percorso

@@RESULTS-TAB@@	Risultati
@@RESULTS-TAB-HELP@@	Vedi i risultati del percorso

@@DATA-TAB@@	Dati
@@DATA-TAB-HELP@@	Informazioni sulla base dati

@@ROUTINO-WEBSITE@@	Pagina web di Routino
@@DOCUMENTATION@@	Documentazione

@@LANGUAGE-BOX@@	Lingua
@@WAYPOINTS-BOX@@	Punti sul percorso
@@TRANSPORT-TYPE-BOX@@	Tipo di trasporto
@@HIGHWAY-PREFERENCES-BOX@@	Preferenze per autostrada
@@SPEED-LIMITS-BOX@@	Limiti di velocita'
@@PROPERTY-PREFERENCES-BOX@@	Impostazione proprieta'
@@OTHER-RESTRICTIONS-BOX@@	Altri limitazioni
@@FIND-BOX@@	Trova
@@LINKS-BOX@@	Collegamenti
@@HELP-BOX@@	Aiuto

@@STATUS-BOX@@	Stato
@@SHORTEST-ROUTE@@	Percorso piu' breve
@@QUICKEST-ROUTE@@	Percorso piu' veloce

@@STATISTICS-BOX@@	Statistiche Routio
@@VISUALISER-BOX@@	Visualizzatore Routino

@@WAYPOINT-POSITION@@	Posizione del punto XXX
@@WAYPOINT-LONGITUDE@@	Longitudine del punto XXX
@@WAYPOINT-LATITUDE@@	Latitudine del punto XXX
@@WAYPOINT-LOCATION@@	Luogo del punto XXX
@@WAYPOINT-SEARCH@@	Ricerca del luogo
@@WAYPOINT-GET@@	Ottieni luogo attuale
@@WAYPOINT-CENTRE1@@	Centra la mappa su questo punto
@@WAYPOINT-UP@@	Muovi in alto questo punto
@@WAYPOINT-ADD@@	Aggiungi un punto dopo questo
@@WAYPOINT-COORDS@@	Coordinate per la posizione
@@WAYPOINT-HOME@@	Imposta come casa
@@WAYPOINT-CENTRE2@@	Centra questo punto sulla mappa
@@WAYPOINT-DOWN@@	Muovi in basso questo punto
@@WAYPOINT-REMOVE@@	Rimuovi questo punto dal percorso
@@WAYPOINT-REVERSE@@	Ordine inverso dei punti sul percorso
@@WAYPOINT-REVERSE-BUTTON@@	Ordine inverso
@@WAYPOINT-LOOP@@	Aggiungi un nuovo punto per chiudere il ciclo
@@WAYPOINT-LOOP-BUTTON@@	Chiudi il ciclo

@@TRANSPORT-FOOT@@	A piedi
@@TRANSPORT-HORSE@@	Cavallo
