#
# Russian language translation phrases
#

#
# Router output XML definition
#

%%copyright_creator_string%%	Автор
%%copyright_source_string%%	Источник
%%copyright_source_text%%	Использованы данные OpenStreetMap http://www.openstreetmap.org/
%%copyright_license_string%%	Лицензия

%%turn_-4%%	очень крутой поворот налево
%%turn_-3%%	крутой поворот налево
%%turn_-2%%	налево
%%turn_-1%%	плавно налево
%%turn_0%%	прямо
%%turn_1%%	плавно направо
%%turn_2%%	направо
%%turn_3%%	крутой поворот направо
%%turn_4%%	очень крутой поворот направо

%%heading_-4%%	юг
%%heading_-3%%	юго-запад
%%heading_-2%%	запад
%%heading_-1%%	северо-запад
%%heading_0%%	север
%%heading_1%%	северо-восток
%%heading_2%%	восток
%%heading_3%%	юго-восток
%%heading_4%%	юг

%%ordinal_1%%	Первый
%%ordinal_2%%	Второй
%%ordinal_3%%	Третий
%%ordinal_4%%	Четвертый
%%ordinal_5%%	Пятый
%%ordinal_6%%	Шестой
%%ordinal_7%%	Седьмой
%%ordinal_8%%	Восьмой
%%ordinal_9%%	Девятый
%%ordinal_10%%	Десятый

%%highway_motorway%%	автомагистраль
%%highway_trunk%%	международная трасса
%%highway_primary%%	дорога регионального значения
%%highway_secondary%%	дорога областного значения
%%highway_tertiary%%	дорога районного значения
%%highway_unclassified%%	дорога местного значения
%%highway_residential%%	улица
%%highway_service%%	проезд
%%highway_track%%	дорога с/х назначения
%%highway_cycleway%%	велодорожка
%%highway_path%%	тропинка
%%highway_steps%%	лестница
%%highway_ferry%%	паром

%%route_shortest%%	Кратчайший
%%route_quickest%%	Быстрый

%%output-html_waypoint_waypoint%%	Точка
%%output-html_waypoint_junction%%	перекрестке
%%output-html_waypoint_roundabout%%	круговое движение
%%output-html_title%%	%s маршрут
%%output-html_start%%	Старт  %s, на %s
%%output-html_node%%	на %s, %s, на %s
%%output-html_segment%%	Следуйте по %s %.3f км, %.1f мин
%%output-html_stop%%	Стоп  %s
%%output-html_total%%	Всего %.1f км, %.0f минут
%%output-html_subtotal%%	%.1f км, %.0f минут

%%output-gpx_waypoint_waypt%%	ТОЧКА

%%output-gpx_desc%%	%s маршрут от 'Старта' до 'Финиша'
%%output-gpx_name%%	%s маршрут
%%output-gpx_step%%	на %s по '%s' %.3f км, %.1f мин
%%output-gpx_final%%	Всего - %.1f км, продолжительность - %.0f минут

#
# Router (and some shared) translations
#

@@LANGUAGE@@	Русский
@@LANGUAGE-WEBPAGE@@	Страница на Русском языке

@@OPTION-TAB@@	Настройки
@@OPTION-TAB-HELP@@	Задать настройки маршрутизации

@@RESULTS-TAB@@	Результаты
@@RESULTS-TAB-HELP@@	Смотрите результат прокладки маршрута

@@DATA-TAB@@	Данные

@@ROUTINO-WEBSITE@@	Сайт Routino
@@DOCUMENTATION@@	Документация

@@LANGUAGE-BOX@@	Язык
@@WAYPOINTS-BOX@@	Точки
@@TRANSPORT-TYPE-BOX@@	Тип транспорта
@@HIGHWAY-PREFERENCES-BOX@@	Настройки типа дорог
@@SPEED-LIMITS-BOX@@	Ограничения скорости
@@PROPERTY-PREFERENCES-BOX@@	Настройки качества дорог
@@OTHER-RESTRICTIONS-BOX@@	Другие ограничения
@@FIND-BOX@@	Найти
@@LINKS-BOX@@	Ссылки
@@HELP-BOX@@	Помощь

@@STATUS-BOX@@	Статус
@@SHORTEST-ROUTE@@	Кратчайший маршрут
@@QUICKEST-ROUTE@@	Быстрейший маршрут

@@STATISTICS-BOX@@	Routino Статистика

@@WAYPOINT-SEARCH@@	Поиск по адресу
@@WAYPOINT-GET@@	Текущее местоположение
@@WAYPOINT-CENTRE1@@	Центрировать карту на этой точке
@@WAYPOINT-UP@@	Поместить точку выше
@@WAYPOINT-ADD@@	Добавить следующую точку 
@@WAYPOINT-COORDS@@	По координатам
@@WAYPOINT-CENTRE2@@	Переместить точку в центр карты
@@WAYPOINT-DOWN@@	Поместить точку ниже
@@WAYPOINT-REMOVE@@	Удалить эту путевую точку
@@WAYPOINT-REVERSE@@	Перестроить в обратном порядке
@@WAYPOINT-REVERSE-BUTTON@@	Обратный порядок
@@WAYPOINT-LOOP@@	Добавить точку для зацикливания
@@WAYPOINT-LOOP-BUTTON@@	Зациклить

@@TRANSPORT-FOOT@@	Пешком
@@TRANSPORT-HORSE@@	Лошадь
@@TRANSPORT-WHEELCHAIR@@	Инвалидное кресло
@@TRANSPORT-BICYCLE@@	Велосипед
@@TRANSPORT-MOPED@@	Мопед
@@TRANSPORT-MOTORCYCLE@@	Мотоцикл
@@TRANSPORT-MOTORCAR@@	Машина
@@TRANSPORT-GOODS@@	Фургон
@@TRANSPORT-HGV@@	Грузовой автомобиль
@@TRANSPORT-PSV@@	Автобус

@@HIGHWAY-MOTORWAY@@	Автомагистраль
@@HIGHWAY-TRUNK@@	Международная трасса
@@HIGHWAY-PRIMARY@@	Дорога регионального значения
@@HIGHWAY-SECONDARY@@	Дорога областного значения
